json_file_path	label
Dmitriy D./TASK 1/TASK1/json/220a96df97230919.json	right
Dmitriy D./TASK 1/TASK1/json/682190ed9d3dee8e.json	center
Dmitriy D./TASK 1/TASK1/json/7e4974a9539492b3.json	right
Dmitriy D./TASK 1/TASK1/json/9a3a41792235262b.json	right
Dmitriy D./TASK 1/TASK1/json/081edd33df1d3db9.json	center
Dmitriy D./TASK 1/TASK1/json/9f83871d93f71f82.json	right
Dmitriy D./TASK 1/TASK1/json/932371ecf67ecb1c.json	right
Dmitriy D./TASK 1/TASK1/json/3cf6d016549e89cf.json	right
Dmitriy D./TASK 1/TASK1/json/fa899a7e0ce3ecf2.json	center
Dmitriy D./TASK 1/TASK1/json/478db5fc5f9b255e.json	left
Dmitriy D./TASK 1/TASK1/json/c94dafdffb92320b.json	left
Dmitriy D./TASK 1/TASK1/json/7cc17861ae37ae69.json	center
Dmitriy D./TASK 1/TASK1/json/262b7f0894855cbc.json	right
Dmitriy D./TASK 1/TASK1/json/864f0884083003e5.json	center
Dmitriy D./TASK 1/TASK1/json/c757624f4eb99347.json	left
Dmitriy D./TASK 1/TASK1/json/fd73f40b95fc4e68.json	center
Dmitriy D./TASK 1/TASK1/json/6762bd65ff2cdb6a.json	center
Dmitriy D./TASK 1/TASK1/json/7439d5cc2ae4e69a.json	center
Dmitriy D./TASK 1/TASK1/json/7213a7464900ad24.json	right
Dmitriy D./TASK 1/TASK1/json/1ca753fbad221031.json	right
Dmitriy D./TASK 1/TASK1/json/61e467a173ed1e2a.json	center
Dmitriy D./TASK 1/TASK1/json/c83c595efba78386.json	right
Dmitriy D./TASK 1/TASK1/json/20ede382e39611ad.json	right
Dmitriy D./TASK 1/TASK1/json/eb18154417c49e8e.json	right
Dmitriy D./TASK 1/TASK1/json/cd0009f02f8c29f6.json	left
Dmitriy D./TASK 1/TASK1/json/de78119606b85bbd.json	left
Dmitriy D./TASK 1/TASK1/json/3bb5c405aca31eab.json	left
Dmitriy D./TASK 1/TASK1/json/c8bbd0173e8e1961.json	right
Dmitriy D./TASK 1/TASK1/json/dfff80f0f62ae662.json	right
Dmitriy D./TASK 1/TASK1/json/cc1d079ff17ec01c.json	right
Dmitriy D./TASK 1/TASK1/json/1d6ae2215d7e44b0.json	center
Dmitriy D./TASK 1/TASK1/json/89f44db831099ee5.json	center
Dmitriy D./TASK 1/TASK1/json/6cc9a5b3d3e8e1ec.json	right
Dmitriy D./TASK 1/TASK1/json/98974c88b0952ea9.json	left
Dmitriy D./TASK 1/TASK1/json/dd34f0a5558cc9e1.json	right
Dmitriy D./TASK 1/TASK1/json/f220a5973cbeec1e.json	left
Dmitriy D./TASK 1/TASK1/json/0fb51d480b2c2fad.json	left
Dmitriy D./TASK 1/TASK1/json/78d6ffa45b5576e0.json	right
Dmitriy D./TASK 1/TASK1/json/20d4e1a078230360.json	left
Dmitriy D./TASK 1/TASK1/json/af620e1388cccce5.json	left
Dmitriy D./TASK 1/TASK1/json/747dc9208f115d68.json	center
Dmitriy D./TASK 1/TASK1/json/f2bdd4ddd6e05028.json	center
Dmitriy D./TASK 1/TASK1/json/7ffe53fb32c0db98.json	left
Dmitriy D./TASK 1/TASK1/json/2ae96a7b2da18205.json	right
Dmitriy D./TASK 1/TASK1/json/20cca035d8b372b3.json	right
Dmitriy D./TASK 1/TASK1/json/afc3ad440bcb2c90.json	right
Dmitriy D./TASK 1/TASK1/json/d2ea08f911ce73de.json	right
Dmitriy D./TASK 1/TASK1/json/0468dd215a7f2224.json	right
Dmitriy D./TASK 1/TASK1/json/45679811d660411d.json	right
Dmitriy D./TASK 1/TASK1/json/84919f09202de919.json	center
Dmitriy D./TASK 1/TASK1/json/269526671bdcf329.json	left
Dmitriy D./TASK 1/TASK1/json/99eecdad14d82063.json	center
Dmitriy D./TASK 1/TASK1/json/63e4bd9b326c8781.json	left
Dmitriy D./TASK 1/TASK1/json/27b5b0d8576de23e.json	right
Dmitriy D./TASK 1/TASK1/json/e9040ce9dcf5953c.json	left
Dmitriy D./TASK 1/TASK1/json/219ebe5e13da191f.json	center
Dmitriy D./TASK 1/TASK1/json/3cdf723b5f87e081.json	center
Dmitriy D./TASK 1/TASK1/json/e73519f4d4bfedfc.json	center
Dmitriy D./TASK 1/TASK1/json/56330ab888bfc593.json	center
Dmitriy D./TASK 1/TASK1/json/920a8078fe5896be.json	left
Dmitriy D./TASK 1/TASK1/json/fc23a25e22f3f19f.json	center
Dmitriy D./TASK 1/TASK1/json/845d8765ab5302e1.json	center
Dmitriy D./TASK 1/TASK1/json/6ae1a08d07e4ebcb.json	left
Dmitriy D./TASK 1/TASK1/json/062acfe2660db401.json	center
Dmitriy D./TASK 1/TASK1/json/208b8afd65c2d86c.json	right
Dmitriy D./TASK 1/TASK1/json/2e9824a797c99b94.json	center
Dmitriy D./TASK 1/TASK1/json/f4cf8f0f0a4d4aa1.json	left
Dmitriy D./TASK 1/TASK1/json/97ac74137c32b382.json	left
Dmitriy D./TASK 1/TASK1/json/4e634b2ad1c2d006.json	right
Dmitriy D./TASK 1/TASK1/json/f0b0fbeccd5097f6.json	center
Dmitriy D./TASK 1/TASK1/json/1529043cecf85235.json	left
Dmitriy D./TASK 1/TASK1/json/ee35eeca12e84edb.json	right
Dmitriy D./TASK 1/TASK1/json/f66f2d728409abf1.json	right
Dmitriy D./TASK 1/TASK1/json/346cdefb63ff56fa.json	center
Dmitriy D./TASK 1/TASK1/json/459272d86bb95796.json	center
Dmitriy D./TASK 1/TASK1/json/01e361d3810acd2a.json	right
Dmitriy D./TASK 1/TASK1/json/dfd670bbc6b2611c.json	center
Dmitriy D./TASK 1/TASK1/json/6e300a7b583df5b5.json	center
Dmitriy D./TASK 1/TASK1/json/e183dcfb21d0b035.json	center
Dmitriy D./TASK 1/TASK1/json/f2a4e45a04c0946a.json	right
Dmitriy D./TASK 1/TASK1/json/c0fc996b2ca9abd6.json	right
Dmitriy D./TASK 1/TASK1/json/0cdc650096df137a.json	left
Dmitriy D./TASK 1/TASK1/json/5ab078dd47f17042.json	center
Dmitriy D./TASK 1/TASK1/json/f8965d3d71edae05.json	left
Dmitriy D./TASK 1/TASK1/json/4131e93d0e857f8a.json	right
Dmitriy D./TASK 1/TASK1/json/449afaeb9971dd16.json	center
Dmitriy D./TASK 1/TASK1/json/783f26fb86b78244.json	left
Dmitriy D./TASK 1/TASK1/json/23c0494420f855e9.json	left
Dmitriy D./TASK 1/TASK1/json/1487a555a117c282.json	center
Dmitriy D./TASK 1/TASK1/json/eb9bc41da1fe2430.json	left
Dmitriy D./TASK 1/TASK1/json/55788181e0f82dd7.json	left
Dmitriy D./TASK 1/TASK1/json/bfb84f8b33debbf5.json	left
Dmitriy D./TASK 1/TASK1/json/02f5c7fb5a788c0f.json	center
Dmitriy D./TASK 1/TASK1/json/9aba0625802f58de.json	left
Dmitriy D./TASK 1/TASK1/json/7ecd018e0339c6b9.json	left
Dmitriy D./TASK 1/TASK1/json/636059e9a816e6dd.json	left
Dmitriy D./TASK 1/TASK1/json/1b7f5b5959df7004.json	left
Dmitriy D./TASK 1/TASK1/json/bbe42175d29a1cb4.json	center
Dmitriy D./TASK 1/TASK1/json/f4f79a8acaa21f4d.json	center
Dmitriy D./TASK 1/TASK1/json/5e0aff24edd7d0e1.json	center
Dmitriy D./TASK 1/TASK1/json/8334a0aedddfdc08.json	center
Dmitriy D./TASK 1/TASK1/json/0cbae91c14c12a48.json	center
Dmitriy D./TASK 1/TASK1/json/2dfdced30583685b.json	right
Dmitriy D./TASK 1/TASK1/json/529570aa8462ce6c.json	left
Dmitriy D./TASK 1/TASK1/json/37d0b94e72117279.json	left
Dmitriy D./TASK 1/TASK1/json/7f1165a68ff30ff2.json	left
Dmitriy D./TASK 1/TASK1/json/26a3f8d629158e70.json	right
Dmitriy D./TASK 1/TASK1/json/507ce82b2517ba82.json	right
Dmitriy D./TASK 1/TASK1/json/9adda418779eaff1.json	right
Dmitriy D./TASK 1/TASK1/json/9e137633d01901b6.json	center
Dmitriy D./TASK 1/TASK1/json/5e6d8ae904d4653c.json	center
Dmitriy D./TASK 1/TASK1/json/faf6b7f0697d847f.json	left
Dmitriy D./TASK 1/TASK1/json/a4695c7cf7d3a932.json	center
Dmitriy D./TASK 1/TASK1/json/4b75aeeff5b2e683.json	right
Dmitriy D./TASK 1/TASK1/json/e95476d654ef8a76.json	center
Dmitriy D./TASK 1/TASK1/json/4cfd294439b3669b.json	left
Dmitriy D./TASK 1/TASK1/json/1489042ebaa1f97c.json	right
Dmitriy D./TASK 1/TASK1/json/62605946f997a652.json	left
Dmitriy D./TASK 1/TASK1/json/6129ec36066d24f3.json	center
Dmitriy D./TASK 1/TASK1/json/416d5aee3ea371b8.json	left
Dmitriy D./TASK 1/TASK1/json/e565faa90b2cfdbe.json	right
Dmitriy D./TASK 1/TASK1/json/538b8d8857aee0cf.json	right
Dmitriy D./TASK 1/TASK1/json/9cdbab7a5e657546.json	center
Dmitriy D./TASK 1/TASK1/json/da220759f64aa9e8.json	center
Dmitriy D./TASK 1/TASK1/json/f5a7507c90379a2c.json	right
Dmitriy D./TASK 1/TASK1/json/ecddc8c497d039e6.json	left
Dmitriy D./TASK 1/TASK1/json/46380a55d087f98c.json	center
Dmitriy D./TASK 1/TASK1/json/3a548735fe6cb85d.json	left
Dmitriy D./TASK 1/TASK1/json/6e7bb56520078861.json	right
Dmitriy D./TASK 1/TASK1/json/a5dc88bb6f06f248.json	right
Dmitriy D./TASK 1/TASK1/json/f85e6e66684d7ca1.json	right
Dmitriy D./TASK 1/TASK1/json/0a1375f814e4a9f8.json	left
Dmitriy D./TASK 1/TASK1/json/0685f86fe936f2c4.json	right
Dmitriy D./TASK 1/TASK1/json/35ca83b4b6f7e181.json	right
Dmitriy D./TASK 1/TASK1/json/a01c0faaff2b648e.json	center
Dmitriy D./TASK 1/TASK1/json/a0655a8ea832cc2c.json	right
Dmitriy D./TASK 1/TASK1/json/b166c3157eddda63.json	left
Dmitriy D./TASK 1/TASK1/json/93597d2559214e60.json	center
Dmitriy D./TASK 1/TASK1/json/142994fa1f01e96b.json	right
Dmitriy D./TASK 1/TASK1/json/c6a7db62529c7c4a.json	center
Dmitriy D./TASK 1/TASK1/json/7e191b720fa3adf0.json	center
Dmitriy D./TASK 1/TASK1/json/6d82c74705173571.json	right
Dmitriy D./TASK 1/TASK1/json/8f201cd36b872f67.json	right
Dmitriy D./TASK 1/TASK1/json/8473688aec54da31.json	right
Dmitriy D./TASK 1/TASK1/json/d4122e5d94b1f6d7.json	center
Dmitriy D./TASK 1/TASK1/json/bf4a87f20ed44141.json	left
Dmitriy D./TASK 1/TASK1/json/d31e84ec8a1e4cda.json	right
Dmitriy D./TASK 1/TASK1/json/4df2a019bfd3da37.json	center
Dmitriy D./TASK 1/TASK1/json/6f4877a531fde057.json	left
Dmitriy D./TASK 1/TASK1/json/f1486758a5edea59.json	center
Dmitriy D./TASK 1/TASK1/json/c8e24e9dd968b62b.json	center
Dmitriy D./TASK 1/TASK1/json/edfa90eaf4c14cdc.json	left
Dmitriy D./TASK 1/TASK1/json/6f291785e380e87f.json	right
Dmitriy D./TASK 1/TASK1/json/84d30669387340dc.json	left
Dmitriy D./TASK 1/TASK1/json/8f9b4fae6b90e12c.json	right
Dmitriy D./TASK 1/TASK1/json/7cae009830073759.json	right
Dmitriy D./TASK 1/TASK1/json/bbda919004d20beb.json	center
Dmitriy D./TASK 1/TASK1/json/a31a2b1a2f2fedd2.json	center
Dmitriy D./TASK 1/TASK1/json/0f7abcf09e537f4a.json	right
Dmitriy D./TASK 1/TASK1/json/700d5447407058eb.json	left
Dmitriy D./TASK 1/TASK1/json/fd328d8a8c748b00.json	right
Dmitriy D./TASK 1/TASK1/json/314dcd66437e0737.json	center
Dmitriy D./TASK 1/TASK1/json/817f4ffa9b72226a.json	right
Dmitriy D./TASK 1/TASK1/json/dcc60101037c704e.json	right
Dmitriy D./TASK 1/TASK1/json/8a4aad42991aac55.json	left
Dmitriy D./TASK 1/TASK1/json/b2c3a98f75a374ae.json	right
Dmitriy D./TASK 1/TASK1/json/e80c8e66466c06e8.json	right
Dmitriy D./TASK 1/TASK1/json/6e427caead8d056d.json	center
Dmitriy D./TASK 1/TASK1/json/1fd4880dc393a06f.json	center
Dmitriy D./TASK 1/TASK1/json/e23ebac54e3555db.json	right
Dmitriy D./TASK 1/TASK1/json/bedd8c29b1937e81.json	right
Dmitriy D./TASK 1/TASK1/json/b4ac15d42f46ddf1.json	right
Dmitriy D./TASK 1/TASK1/json/8c27dc6584a6c2a2.json	right
Dmitriy D./TASK 1/TASK1/json/05d8bdb17afad398.json	right
Dmitriy D./TASK 1/TASK1/json/a0a7009c83c5dd6d.json	right
Dmitriy D./TASK 1/TASK1/json/c036ef1eb9cedba0.json	left
Dmitriy D./TASK 1/TASK1/json/b2df9404f0f76411.json	right
Dmitriy D./TASK 1/TASK1/json/c71b570562ce81fd.json	left
Dmitriy D./TASK 1/TASK1/json/c7a4bb5dd72f2dcc.json	left
Dmitriy D./TASK 1/TASK1/json/6d1bb7c0f8bf0a07.json	center
Dmitriy D./TASK 1/TASK1/json/920ae5109b2c5151.json	left
Dmitriy D./TASK 1/TASK1/json/ad43537b48aa459d.json	left
Dmitriy D./TASK 1/TASK1/json/7befc77c46131693.json	right
Dmitriy D./TASK 1/TASK1/json/d42988d2f600f86b.json	center
Dmitriy D./TASK 1/TASK1/json/9dcfdad4ac76dab8.json	center
Dmitriy D./TASK 1/TASK1/json/66ceb965db2aa037.json	right
Dmitriy D./TASK 1/TASK1/json/9b73fc6fcf324f6d.json	center
Dmitriy D./TASK 1/TASK1/json/71c00cb40109d388.json	left
Dmitriy D./TASK 1/TASK1/json/fe27f5a18bd50b45.json	center
Dmitriy D./TASK 1/TASK1/json/7544b919fef9cd48.json	center
Dmitriy D./TASK 1/TASK1/json/f31fc404635fd758.json	right
Dmitriy D./TASK 1/TASK1/json/b925988dc2667b3b.json	right
Dmitriy D./TASK 1/TASK1/json/acc11860df1e6872.json	left
Dmitriy D./TASK 1/TASK1/json/391532996546f870.json	right
Dmitriy D./TASK 1/TASK1/json/00fb67d672208e2c.json	left
Dmitriy D./TASK 1/TASK1/json/79997c534df0032a.json	right
Dmitriy D./TASK 1/TASK1/json/d881236e18c4263d.json	center
Dmitriy D./TASK 1/TASK1/json/d3de00a13fe88f10.json	right
Dmitriy D./TASK 1/TASK1/json/0eefaf4a821b5804.json	right
Dmitriy D./TASK 1/TASK1/json/514b732ca4b7f9ba.json	center
Dmitriy D./TASK 1/TASK1/json/acba9dbe007cae77.json	center
Dmitriy D./TASK 1/TASK1/json/84d29d8c1337db2b.json	center
Dmitriy D./TASK 1/TASK1/json/f804c538eeecc26c.json	right
Dmitriy D./TASK 1/TASK1/json/c2be274cbc80c4a4.json	left
Dmitriy D./TASK 1/TASK1/json/2af5618d8d190f5c.json	right
Dmitriy D./TASK 1/TASK1/json/14c8fe200722814e.json	center
Dmitriy D./TASK 1/TASK1/json/9115fcb38318ffa1.json	right
Dmitriy D./TASK 1/TASK1/json/d1bf8bc6b229d67f.json	left
Dmitriy D./TASK 1/TASK1/json/e18bd8e9ecdc36ee.json	left
Dmitriy D./TASK 1/TASK1/json/4052b4cbd160b831.json	left
Dmitriy D./TASK 1/TASK1/json/a9fb8aac0f84f9bc.json	center
Dmitriy D./TASK 1/TASK1/json/e3a572aec842adcd.json	center
Dmitriy D./TASK 1/TASK1/json/24d6e153cfa00820.json	right
Dmitriy D./TASK 1/TASK1/json/76b790ec379e9f1f.json	right
Dmitriy D./TASK 1/TASK1/json/11ae6bc4bfdcdbe2.json	center
Dmitriy D./TASK 1/TASK1/json/d4d97d158736c3b9.json	left
Dmitriy D./TASK 1/TASK1/json/c785440e676e6f59.json	center
Dmitriy D./TASK 1/TASK1/json/4513339294269619.json	center
Dmitriy D./TASK 1/TASK1/json/956ae96b9cb356ab.json	left
Dmitriy D./TASK 1/TASK1/json/dda7e80aa99c54b9.json	right
Dmitriy D./TASK 1/TASK1/json/a06bce21ea91feb7.json	right
Dmitriy D./TASK 1/TASK1/json/dc6c4fe75ceaa463.json	center
Dmitriy D./TASK 1/TASK1/json/b42ed33acbd268a6.json	center
Dmitriy D./TASK 1/TASK1/json/f2a14a8e1718a833.json	right
Dmitriy D./TASK 1/TASK1/json/9dd80e80f1fdcaf6.json	right
Dmitriy D./TASK 1/TASK1/json/2a91c70433e4c58b.json	left
Dmitriy D./TASK 1/TASK1/json/19795b827ea739d2.json	center
Dmitriy D./TASK 1/TASK1/json/4eccf87639952ffd.json	right
Dmitriy D./TASK 1/TASK1/json/e9ead23117d615b9.json	right
Dmitriy D./TASK 1/TASK1/json/5cb0206d0a29ea17.json	left
Dmitriy D./TASK 1/TASK1/json/eefe857f38fbc63c.json	center
Dmitriy D./TASK 1/TASK1/json/90a6acc15b916f24.json	center
Dmitriy D./TASK 1/TASK1/json/8a5691b498e311c4.json	center
Dmitriy D./TASK 1/TASK1/json/8aa005145916a382.json	right
Dmitriy D./TASK 1/TASK1/json/8195f70fce0c0ebe.json	right
Dmitriy D./TASK 1/TASK1/json/a036785c9e6ee751.json	right
Dmitriy D./TASK 1/TASK1/json/b127dc4ec5d5e136.json	center
Dmitriy D./TASK 1/TASK1/json/3c0eeb95827ede2d.json	center
Dmitriy D./TASK 1/TASK1/json/7058a1d34ca2ba0a.json	left
Dmitriy D./TASK 1/TASK1/json/e0e03be580079f78.json	right
Dmitriy D./TASK 1/TASK1/json/f3865c935162b856.json	right
Dmitriy D./TASK 1/TASK1/json/94acba279bf53422.json	center
Dmitriy D./TASK 1/TASK1/json/9ebc316d349a15c1.json	center
Dmitriy D./TASK 1/TASK1/json/3b8fc4ee624795ac.json	left
Dmitriy D./TASK 1/TASK1/json/943db0df312dd423.json	right
Dmitriy D./TASK 1/TASK1/json/8869f47cca2cfa32.json	right
Dmitriy D./TASK 1/TASK1/json/3ca7bc271eeb95e0.json	right
Dmitriy D./TASK 1/TASK1/json/53b74d5b3b3bcab8.json	left
Dmitriy D./TASK 1/TASK1/json/616b488b7ad58d2e.json	center
Dmitriy D./TASK 1/TASK1/json/3598d9ef3483fe31.json	center
Dmitriy D./TASK 1/TASK1/json/2146c884f21f2751.json	right
Dmitriy D./TASK 1/TASK1/json/794d03486daf1b68.json	right
Dmitriy D./TASK 1/TASK1/json/8ab8a5c1033780d2.json	left
Dmitriy D./TASK 1/TASK1/json/32fc9623f9eaa603.json	left
Dmitriy D./TASK 1/TASK1/json/2ab3987c3f62cdc1.json	right
Dmitriy D./TASK 1/TASK1/json/f34e015f3c2a63fd.json	center
Dmitriy D./TASK 1/TASK1/json/636a33227be5f7ea.json	right
Dmitriy D./TASK 1/TASK1/json/ceb82695ad20d449.json	center
Dmitriy D./TASK 1/TASK1/json/1acf36b79075027c.json	right
Dmitriy D./TASK 1/TASK1/json/af23212ca48917ba.json	right
Dmitriy D./TASK 1/TASK1/json/c749e08e1d8da9d1.json	center
Dmitriy D./TASK 1/TASK1/json/6bf04e206a9482e2.json	center
Dmitriy D./TASK 1/TASK1/json/a2f7c0df1ba809a9.json	center
Dmitriy D./TASK 1/TASK1/json/48b612552c47c054.json	right
Dmitriy D./TASK 1/TASK1/json/d383703d0fffe770.json	right
Dmitriy D./TASK 1/TASK1/json/dfed0c9ce623aab4.json	center
Dmitriy D./TASK 1/TASK1/json/485a2a8d8e814e6c.json	right
Dmitriy D./TASK 1/TASK1/json/d90c21c31ddf4b8b.json	center
Dmitriy D./TASK 1/TASK1/json/1eb1f1c51b67a458.json	center
Dmitriy D./TASK 1/TASK1/json/a1c37b4acabcce57.json	center
Dmitriy D./TASK 1/TASK1/json/62a03eaf6a107dc7.json	right
Dmitriy D./TASK 1/TASK1/json/981882e9b6967792.json	right
Dmitriy D./TASK 1/TASK1/json/277dded57feb15f4.json	center
Dmitriy D./TASK 1/TASK1/json/0685835854628aff.json	left
Dmitriy D./TASK 1/TASK1/json/df11ed3a4b6029c5.json	center
Dmitriy D./TASK 1/TASK1/json/0e2c8177a03a0539.json	right
Dmitriy D./TASK 1/TASK1/json/df2f06659ba6f946.json	right
Dmitriy D./TASK 1/TASK1/json/700a95bc5e7ec38f.json	left
Dmitriy D./TASK 1/TASK1/json/005e273ae269ec6c.json	right
Dmitriy D./TASK 1/TASK1/json/080c5f6283702d60.json	center
Dmitriy D./TASK 1/TASK1/json/75c14b186254258f.json	center
Dmitriy D./TASK 1/TASK1/json/14c7381abfaf8275.json	center
Dmitriy D./TASK 1/TASK1/json/9ad1546574f3270f.json	right
Dmitriy D./TASK 1/TASK1/json/47caaccb4b1583a0.json	right
Dmitriy D./TASK 1/TASK1/json/868829d99bdd58dc.json	center
Dmitriy D./TASK 1/TASK1/json/3d97a42e9522a26c.json	center
Dmitriy D./TASK 1/TASK1/json/c4f42421971a9459.json	left
Dmitriy D./TASK 1/TASK1/json/354466e950f6b8c2.json	right
Dmitriy D./TASK 1/TASK1/json/7182bc3a535c1300.json	right
Dmitriy D./TASK 1/TASK1/json/0bbc63a4920c8745.json	right
Dmitriy D./TASK 1/TASK1/json/e76486a64cd5d960.json	center
Dmitriy D./TASK 1/TASK1/json/a1e2fa065ebd87a3.json	right
Dmitriy D./TASK 1/TASK1/json/e0ff7c4bf6158534.json	center
Dmitriy D./TASK 1/TASK1/json/0ecd58a7dc92b027.json	right
Dmitriy D./TASK 1/TASK1/json/eab9ca70264611d5.json	right
Dmitriy D./TASK 1/TASK1/json/ef991960ec68edc5.json	right
Dmitriy D./TASK 1/TASK1/json/44dc4d1ba8f825d5.json	center
